Date,Open,High,Low,Close,Adj Close,Volume
12/3/15,152.720001,163.199997,150,40.799999,163.199997,200
12/4/15,179.679993,179.679993,179.520004,44.880001,179.520004,200
12/7/15,220.759995,239.259995,220.759995,59.509998,238.039993,1200
12/8/15,260,269.679993,227.039993,57.537998,230.151993,3000
12/9/15,218.880005,236.679993,203,56.740002,226.960007,900
12/10/15,215.279999,219.240005,215.279999,54.810001,219.240005,1100
12/11/15,237.559998,262.679993,237.559998,65.669998,262.679993,4200
12/14/15,268.320007,300,268.320007,74.25,297,4400
12/15/15,305.880005,305.880005,272.799988,68.720001,274.880005,2100
12/16/15,280.440002,298.320007,274.679993,73.900002,295.600006,3300
12/17/15,296,329.880005,296,79.089996,316.359985,2200
12/18/15,320.011993,323.23999,296,80.809998,323.23999,600
12/21/15,332,348.839996,328.040009,82.199997,328.799988,1800
12/22/15,328.720001,340.359985,319.519989,82,328,700
12/23/15,287.679993,293.140015,213.440002,53.43,213.720001,4300
12/24/15,206.871994,223.440002,205.759995,53.007,212.028,1400
12/28/15,222.800003,243.195999,222.800003,60.619999,242.479996,1100
12/29/15,238,245.199997,210,57.667999,230.671997,1500
12/30/15,248,256,233.839996,64,256,800
12/31/15,256.600006,256.600006,214.179993,53.544998,214.179993,1600
1/4/16,217.119995,226.639999,200.559998,52.810001,211.240005,2700
1/5/16,216.800003,223.600006,214.960007,54.27,217.080002,2400
1/6/16,241.399994,274.040009,241.399994,68.510002,274.040009,2900
1/7/16,294.959991,307.23999,276,76.800003,307.200012,4700
1/8/16,321.959991,322,259.799988,70.400002,281.600006,1900
1/11/16,284.640015,344,284.640015,84.140999,336.563995,1300
1/12/16,320,408,320,95.806,383.223999,3800
1/13/16,373.119995,412.600006,340,99.209999,396.839996,1300
1/14/16,400,428.200012,360,90,360,4500
1/15/16,400.640015,440,400.200012,100.050003,400.200012,3000
1/19/16,411,511.119995,408.200012,126.900002,507.600006,4400
1/20/16,557.23999,635.799988,424.436005,108.739998,434.959991,7500
1/21/16,434.959991,447.079987,305.559998,78.474998,313.899994,6100
1/22/16,265.920013,280,240,65,260,5500
1/25/16,288,360,264.119995,87.643997,350.575989,8000
1/26/16,332,379.959991,216,55.939999,223.759995,15400
1/27/16,234,237.800003,187.432007,53.897999,215.591995,14600
1/28/16,168,205.679993,167.360001,46.700001,186.800003,9300
1/29/16,178.800003,180,156.044006,39.23,156.919998,20600
2/1/16,173.639999,186.983994,173.455994,44.619999,178.479996,10100
2/2/16,187.440002,212,187.440002,52.356998,209.427994,11600
2/3/16,184,228,155.839996,39.84,159.360001,12500
